Using device: cuda
Selected GPU: 1
Number of classes: 1000
Train samples: 12811
Train batches: 101
Total trainable parameters: 5464040
Epoch 115, Loss: 1.1607, Accuracy: 0.7330, Time: 16.37s
Epoch 116, Loss: 1.1475, Accuracy: 0.7344, Time: 16.56s
Epoch 117, Loss: 1.1583, Accuracy: 0.7309, Time: 16.55s
Epoch 118, Loss: 1.1669, Accuracy: 0.7308, Time: 16.59s
Epoch 119, Loss: 1.0942, Accuracy: 0.7455, Time: 16.56s
Epoch 120, Loss: 1.0243, Accuracy: 0.7599, Time: 16.62s
Epoch 121, Loss: 1.0435, Accuracy: 0.7550, Time: 16.61s
Epoch 122, Loss: 1.0568, Accuracy: 0.7569, Time: 16.65s
Epoch 123, Loss: 1.0421, Accuracy: 0.7523, Time: 16.38s
Epoch 124, Loss: 1.0332, Accuracy: 0.7630, Time: 16.44s
Epoch 125, Loss: 1.0350, Accuracy: 0.7609, Time: 16.62s
Epoch 126, Loss: 1.0342, Accuracy: 0.7641, Time: 16.64s
Epoch 127, Loss: 1.0191, Accuracy: 0.7637, Time: 16.61s
Epoch 128, Loss: 0.9993, Accuracy: 0.7697, Time: 16.47s
Epoch 129, Loss: 0.9946, Accuracy: 0.7692, Time: 16.55s
Epoch 130, Loss: 0.9664, Accuracy: 0.7688, Time: 16.63s
Epoch 131, Loss: 0.9405, Accuracy: 0.7810, Time: 16.56s
Epoch 132, Loss: 0.9514, Accuracy: 0.7772, Time: 16.62s
Epoch 133, Loss: 0.9062, Accuracy: 0.7903, Time: 16.52s
Epoch 134, Loss: 0.9095, Accuracy: 0.7854, Time: 16.49s
Epoch 135, Loss: 0.9398, Accuracy: 0.7845, Time: 16.55s
Epoch 136, Loss: 0.9161, Accuracy: 0.7859, Time: 16.79s
Epoch 137, Loss: 0.8863, Accuracy: 0.7960, Time: 16.61s
Epoch 138, Loss: 0.8913, Accuracy: 0.7921, Time: 16.60s
Epoch 139, Loss: 0.9142, Accuracy: 0.7929, Time: 16.56s
Epoch 140, Loss: 0.8712, Accuracy: 0.7954, Time: 16.55s
Epoch 141, Loss: 0.8541, Accuracy: 0.8031, Time: 16.59s
Epoch 142, Loss: 0.8387, Accuracy: 0.8052, Time: 16.57s
Epoch 143, Loss: 0.8651, Accuracy: 0.7993, Time: 16.50s
Epoch 144, Loss: 0.8418, Accuracy: 0.8054, Time: 16.55s
Epoch 145, Loss: 0.8580, Accuracy: 0.8041, Time: 16.49s
Epoch 146, Loss: 0.8270, Accuracy: 0.8083, Time: 16.75s
Epoch 147, Loss: 0.7925, Accuracy: 0.8099, Time: 16.53s
Epoch 148, Loss: 0.7886, Accuracy: 0.8204, Time: 16.63s
Epoch 149, Loss: 0.8626, Accuracy: 0.8040, Time: 16.55s
Epoch 150, Loss: 0.8294, Accuracy: 0.8095, Time: 16.46s
Epoch 151, Loss: 0.7794, Accuracy: 0.8185, Time: 16.69s
Epoch 152, Loss: 0.7929, Accuracy: 0.8191, Time: 16.53s
Epoch 153, Loss: 0.8594, Accuracy: 0.8003, Time: 16.50s
Epoch 154, Loss: 0.7971, Accuracy: 0.8187, Time: 16.50s
Epoch 155, Loss: 0.7870, Accuracy: 0.8219, Time: 16.52s
Epoch 156, Loss: 0.7811, Accuracy: 0.8230, Time: 16.55s
Epoch 157, Loss: 0.7808, Accuracy: 0.8217, Time: 16.56s
Epoch 158, Loss: 0.7803, Accuracy: 0.8255, Time: 16.57s
Epoch 159, Loss: 0.8113, Accuracy: 0.8191, Time: 16.55s
Epoch 160, Loss: 0.7926, Accuracy: 0.8166, Time: 16.36s
Epoch 161, Loss: 0.7483, Accuracy: 0.8287, Time: 16.51s
Epoch 162, Loss: 0.7604, Accuracy: 0.8214, Time: 16.58s
Epoch 163, Loss: 0.7554, Accuracy: 0.8262, Time: 16.61s
Epoch 164, Loss: 0.7087, Accuracy: 0.8362, Time: 16.60s
Epoch 165, Loss: 0.6898, Accuracy: 0.8369, Time: 16.49s
Epoch 166, Loss: 0.7235, Accuracy: 0.8334, Time: 16.61s
Epoch 167, Loss: 0.7286, Accuracy: 0.8332, Time: 16.56s
Epoch 168, Loss: 0.7184, Accuracy: 0.8408, Time: 16.49s
Epoch 169, Loss: 0.7538, Accuracy: 0.8262, Time: 16.43s
Epoch 170, Loss: 0.6707, Accuracy: 0.8448, Time: 16.57s
Epoch 171, Loss: 0.7018, Accuracy: 0.8429, Time: 16.40s
Epoch 172, Loss: 0.7205, Accuracy: 0.8341, Time: 16.62s
Epoch 173, Loss: 0.6800, Accuracy: 0.8454, Time: 16.54s
Epoch 174, Loss: 0.6853, Accuracy: 0.8446, Time: 16.62s
